Fecha;Localidad;Temperatura
2017-01-11 16:00:00;Valladolid-Cistérniga;13,0
2017-01-11 16:00:00;Valladolid-Valladolid;13,0
2017-01-11 16:00:00;Valladolid-Zaratán;13,0
2017-01-11 16:00:00;Zaragoza-Zaragoza;14,0
2017-01-11 17:00:00;A Coruña-Cambre;12,0
2017-01-11 17:00:00;A Coruña-Culleredo;13,0
2017-01-11 17:00:00;Albacete-Albacete;10,0
2017-01-11 17:00:00;Albacete-Chinchilla de Monte-Aragón;8,0
2017-01-11 17:00:00;Badajoz-Badajoz;14,0
2017-01-11 17:00:00;Badajoz-Pueblonuevo del Guadiana;15,0
2017-01-11 17:00:00;Badajoz-Talavera la Real;14,0
2017-01-11 17:00:00;Barcelona-Sant Climent de Llobregat;11,0
2017-01-11 17:00:00;Barcelona-Viladecans;11,0
2017-01-11 17:00:00;Cantabria-Camargo;13,0
2017-01-11 17:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 17:00:00;Córdoba-Córdoba;13,0
2017-01-11 17:00:00;Córdoba-Palma del Río;15,0
2017-01-11 17:00:00;Madrid-Alcobendas;9,0
2017-01-11 17:00:00;Madrid-Coslada;10,0
2017-01-11 17:00:00;Madrid-Madrid;11,0
2017-01-11 17:00:00;Madrid-Torrejón de Ardoz;11,0
2017-01-11 17:00:00;Málaga-Alhaurín de la Torre;15,0
2017-01-11 17:00:00;Málaga-Cártama;12,0
2017-01-11 17:00:00;Málaga-Málaga;16,0
2017-01-11 17:00:00;València/Valencia-Aldaia;13,0
2017-01-11 17:00:00;València/Valencia-Manises;13,0
2017-01-11 17:00:00;València/Valencia-Paterna;12,0
2017-01-11 17:00:00;València/Valencia-Quart de Poblet;13,0
2017-01-11 17:00:00;Valladolid-Arroyo de la Encomienda;11,0
2017-01-11 17:00:00;Valladolid-Cistérniga;11,0
2017-01-11 17:00:00;Valladolid-Valladolid;11,0
2017-01-11 17:00:00;Valladolid-Zaratán;11,0
2017-01-11 17:00:00;Zaragoza-Zaragoza;14,0
2017-01-11 18:00:00;A Coruña-Cambre;12,0
2017-01-11 18:00:00;A Coruña-Culleredo;12,0
2017-01-11 18:00:00;Albacete-Albacete;9,0
2017-01-11 18:00:00;Albacete-Chinchilla de Monte-Aragón;8,0
2017-01-11 18:00:00;Badajoz-Badajoz;12,0
2017-01-11 18:00:00;Badajoz-Pueblonuevo del Guadiana;13,0
2017-01-11 18:00:00;Badajoz-Talavera la Real;12,0
2017-01-11 18:00:00;Barcelona-Sant Climent de Llobregat;11,0
2017-01-11 18:00:00;Barcelona-Viladecans;11,0
2017-01-11 18:00:00;Cantabria-Camargo;13,0
2017-01-11 18:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 18:00:00;Córdoba-Córdoba;12,0
2017-01-11 18:00:00;Córdoba-Palma del Río;13,0
2017-01-11 18:00:00;Madrid-Alcobendas;10,0
2017-01-11 18:00:00;Madrid-Coslada;10,0
2017-01-11 18:00:00;Madrid-Madrid;12,0
2017-01-11 18:00:00;Madrid-Torrejón de Ardoz;10,0
2017-01-11 18:00:00;Málaga-Alhaurín de la Torre;14,0
2017-01-11 18:00:00;Málaga-Cártama;13,0
2017-01-11 18:00:00;Málaga-Málaga;15,0
2017-01-11 18:00:00;València/Valencia-Aldaia;12,0
2017-01-11 18:00:00;València/Valencia-Manises;12,0
2017-01-11 18:00:00;València/Valencia-Paterna;12,0
2017-01-11 18:00:00;València/Valencia-Quart de Poblet;12,0
2017-01-11 18:00:00;Valladolid-Arroyo de la Encomienda;9,0
2017-01-11 18:00:00;Valladolid-Cistérniga;9,0
2017-01-11 18:00:00;Valladolid-Valladolid;9,0
2017-01-11 18:00:00;Valladolid-Zaratán;8,0
2017-01-11 18:00:00;Zaragoza-Zaragoza;13,0
2017-01-11 19:00:00;A Coruña-Cambre;11,0
2017-01-11 19:00:00;A Coruña-Culleredo;12,0
2017-01-11 19:00:00;Albacete-Albacete;9,0
2017-01-11 19:00:00;Albacete-Chinchilla de Monte-Aragón;7,0
2017-01-11 19:00:00;Badajoz-Badajoz;11,0
2017-01-11 19:00:00;Badajoz-Pueblonuevo del Guadiana;11,0
2017-01-11 19:00:00;Badajoz-Talavera la Real;11,0
2017-01-11 19:00:00;Barcelona-Sant Climent de Llobregat;12,0
2017-01-11 19:00:00;Barcelona-Viladecans;12,0
2017-01-11 19:00:00;Cantabria-Camargo;13,0
2017-01-11 19:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 19:00:00;Córdoba-Córdoba;10,0
2017-01-11 19:00:00;Córdoba-Palma del Río;12,0
2017-01-11 19:00:00;Madrid-Alcobendas;8,0
2017-01-11 19:00:00;Madrid-Coslada;9,0
2017-01-11 19:00:00;Madrid-Madrid;11,0
2017-01-11 19:00:00;Madrid-Torrejón de Ardoz;8,0
2017-01-11 19:00:00;Málaga-Alhaurín de la Torre;15,0
2017-01-11 19:00:00;Málaga-Cártama;14,0
2017-01-11 19:00:00;Málaga-Málaga;15,0
2017-01-11 19:00:00;València/Valencia-Aldaia;11,0
2017-01-11 19:00:00;València/Valencia-Manises;11,0
2017-01-11 19:00:00;València/Valencia-Paterna;11,0
2017-01-11 19:00:00;València/Valencia-Quart de Poblet;11,0
2017-01-11 19:00:00;Valladolid-Arroyo de la Encomienda;8,0
2017-01-11 19:00:00;Valladolid-Cistérniga;10,0
2017-01-11 19:00:00;Valladolid-Valladolid;7,0
2017-01-11 19:00:00;Valladolid-Zaratán;8,0
2017-01-11 19:00:00;Zaragoza-Zaragoza;12,0
2017-01-11 20:00:00;A Coruña-Cambre;11,0
2017-01-11 20:00:00;A Coruña-Culleredo;11,0
2017-01-11 20:00:00;Albacete-Albacete;9,0
2017-01-11 20:00:00;Albacete-Chinchilla de Monte-Aragón;7,0
2017-01-11 20:00:00;Badajoz-Badajoz;9,0
2017-01-11 20:00:00;Badajoz-Pueblonuevo del Guadiana;8,0
2017-01-11 20:00:00;Badajoz-Talavera la Real;10,0
2017-01-11 20:00:00;Barcelona-Sant Climent de Llobregat;12,0
2017-01-11 20:00:00;Barcelona-Viladecans;12,0
2017-01-11 20:00:00;Cantabria-Camargo;13,0
2017-01-11 20:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 20:00:00;Córdoba-Córdoba;9,0
2017-01-11 20:00:00;Córdoba-Palma del Río;10,0
2017-01-11 20:00:00;Madrid-Alcobendas;6,0
2017-01-11 20:00:00;Madrid-Coslada;7,0
2017-01-11 20:00:00;Madrid-Madrid;10,0
2017-01-11 20:00:00;Madrid-Torrejón de Ardoz;7,0
2017-01-11 20:00:00;Málaga-Alhaurín de la Torre;14,0
2017-01-11 20:00:00;Málaga-Cártama;13,0
2017-01-11 20:00:00;Málaga-Málaga;14,0
2017-01-11 20:00:00;València/Valencia-Aldaia;10,0
2017-01-11 20:00:00;València/Valencia-Manises;10,0
2017-01-11 20:00:00;València/Valencia-Paterna;10,0
2017-01-11 20:00:00;València/Valencia-Quart de Poblet;10,0
2017-01-11 20:00:00;Valladolid-Arroyo de la Encomienda;7,0
2017-01-11 20:00:00;Valladolid-Cistérniga;7,0
2017-01-11 20:00:00;Valladolid-Valladolid;6,0
2017-01-11 20:00:00;Valladolid-Zaratán;7,0
2017-01-11 20:00:00;Zaragoza-Zaragoza;11,0
2017-01-11 21:00:00;A Coruña-Cambre;10,0
2017-01-11 21:00:00;A Coruña-Culleredo;11,0
2017-01-11 21:00:00;Albacete-Albacete;8,0
2017-01-11 21:00:00;Albacete-Chinchilla de Monte-Aragón;6,0
2017-01-11 21:00:00;Badajoz-Badajoz;7,0
2017-01-11 21:00:00;Badajoz-Pueblonuevo del Guadiana;8,0
2017-01-11 21:00:00;Badajoz-Talavera la Real;9,0
2017-01-11 21:00:00;Barcelona-Sant Climent de Llobregat;12,0
2017-01-11 21:00:00;Barcelona-Viladecans;12,0
2017-01-11 21:00:00;Cantabria-Camargo;13,0
2017-01-11 21:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 21:00:00;Córdoba-Córdoba;7,0
2017-01-11 21:00:00;Córdoba-Palma del Río;9,0
2017-01-11 21:00:00;Madrid-Alcobendas;9,0
2017-01-11 21:00:00;Madrid-Coslada;8,0
2017-01-11 21:00:00;Madrid-Madrid;12,0
2017-01-11 21:00:00;Madrid-Torrejón de Ardoz;8,0
2017-01-11 21:00:00;Málaga-Alhaurín de la Torre;13,0
2017-01-11 21:00:00;Málaga-Cártama;12,0
2017-01-11 21:00:00;Málaga-Málaga;14,0
2017-01-11 21:00:00;València/Valencia-Aldaia;9,0
2017-01-11 21:00:00;València/Valencia-Manises;9,0
2017-01-11 21:00:00;València/Valencia-Paterna;10,0
2017-01-11 21:00:00;València/Valencia-Quart de Poblet;9,0
2017-01-11 21:00:00;Valladolid-Arroyo de la Encomienda;7,0
2017-01-11 21:00:00;Valladolid-Cistérniga;7,0
2017-01-11 21:00:00;Valladolid-Valladolid;7,0
2017-01-11 21:00:00;Valladolid-Zaratán;6,0
2017-01-11 21:00:00;Zaragoza-Zaragoza;11,0
2017-01-11 22:00:00;A Coruña-Cambre;10,0
2017-01-11 22:00:00;A Coruña-Culleredo;10,0
2017-01-11 22:00:00;Albacete-Albacete;7,0
2017-01-11 22:00:00;Albacete-Chinchilla de Monte-Aragón;6,0
2017-01-11 22:00:00;Badajoz-Badajoz;6,0
2017-01-11 22:00:00;Badajoz-Pueblonuevo del Guadiana;9,0
2017-01-11 22:00:00;Badajoz-Talavera la Real;10,0
2017-01-11 22:00:00;Barcelona-Sant Climent de Llobregat;12,0
2017-01-11 22:00:00;Barcelona-Viladecans;12,0
2017-01-11 22:00:00;Cantabria-Camargo;13,0
2017-01-11 22:00:00;Cantabria-Santa Cruz de Bezana;13,0
2017-01-11 22:00:00;Córdoba-Córdoba;6,0
2017-01-11 22:00:00;Córdoba-Palma del Río;7,0
2017-01-11 22:00:00;Madrid-Alcobendas;8,0
2017-01-11 22:00:00;Madrid-Coslada;7,0
2017-01-11 22:00:00;Madrid-Madrid;10,0
2017-01-11 22:00:00;Madrid-Torrejón de Ardoz;6,0
2017-01-11 22:00:00;Málaga-Alhaurín de la Torre;13,0
2017-01-11 22:00:00;Málaga-Cártama;12,0
2017-01-11 22:00:00;Málaga-Málaga;14,0
